student_id,query_index,query_type
12288,1,d
12288,2,d
12288,3,f
12291,1,i
12313,1,d
12324,1,i
12324,2,f
12310,1,i
12310,2,i
12318,1,d
12318,2,f
12322,1,i
12322,2,d
12322,3,d
12322,4,f
12322,5,d
12322,6,d
12323,1,i
12323,2,f
12323,3,f
12323,4,f
12311,1,i
12311,2,f
12311,3,i
12311,4,f
12311,5,f
12312,1,u
12312,2,u
12315,1,d
12315,2,f
12315,3,d
12315,4,f
12147,1,i
12147,2,i
12147,3,i
12147,4,i
12147,5,f
12147,6,f
12293,1,u
12293,2,f
12293,3,f
12301,1,d
12301,2,f
12301,3,f
12304,1,u
12317,1,d
12317,2,d
12319,1,d
12282,1,d
12282,2,f
12282,3,d
12282,4,i
12286,1,i
12289,1,d
12289,2,f
12289,3,f
12292,1,i
12292,2,i
12292,3,f
12292,4,f
12292,5,f
12302,1,d
12305,1,d
12254,1,u
12254,2,d
12256,1,d
12257,1,d
12257,2,d
12257,3,d
12261,1,f
12261,2,f
12263,1,d
12266,1,n
12266,2,f
12266,3,f
12268,1,d
12269,1,d
12269,2,f
12269,3,d
12270,1,d
12270,2,f
12270,3,f
12270,4,f
12271,1,d
12271,2,i
12272,1,i
12273,1,d
12273,2,d
12274,1,u
12274,2,d
12274,3,f
12274,4,f
12274,5,f
12275,1,d
12275,2,d
12275,3,f
12279,1,u
12279,2,d
12279,3,f
