deployment,student_id,segment_index,behavior,thinking_subtype,start_time_s,duration_s,session_duration_s,session_progress,query_number,total_queries,before_query_30s,after_response_30s
deployment_1,11479,0,thinking,thinking-task,0.0,40.6,468.18,0.0,0,0,0,0
deployment_1,11479,1,implementing,,40.6,6.91,468.18,0.0867,0,0,0,0
deployment_1,11479,2,thinking,thinking-code,47.51,10.18,468.18,0.1015,0,0,0,0
deployment_1,11479,3,implementing,,57.7,14.08,468.18,0.1232,0,0,0,0
deployment_1,11479,4,thinking,thinking-code,71.78,7.46,468.18,0.1533,0,0,0,0
deployment_1,11479,5,implementing,,79.24,23.87,468.18,0.1693,0,0,0,0
deployment_1,11479,6,thinking,thinking-code,103.11,52.53,468.18,0.2202,0,0,0,0
deployment_1,11479,7,implementing,,155.64,8.1,468.18,0.3324,0,0,0,0
deployment_1,11479,8,thinking,thinking-code,163.75,33.73,468.18,0.3497,0,0,0,0
deployment_1,11479,9,implementing,,197.48,9.26,468.18,0.4218,0,0,0,0
deployment_1,11479,10,thinking,thinking-code,206.74,15.84,468.18,0.4416,0,0,0,0
deployment_1,11479,11,implementing,,222.58,1.82,468.18,0.4754,0,0,0,0
deployment_1,11479,12,thinking,thinking-code,224.4,14.8,468.18,0.4793,0,0,0,0
deployment_1,11479,13,debugging,,239.2,9.2,468.18,0.5109,0,0,0,0
deployment_1,11479,14,thinking,thinking-error,248.4,7.07,468.18,0.5306,0,0,0,0
deployment_1,11479,15,debugging,,255.47,20.58,468.18,0.5457,0,0,0,0
deployment_1,11479,16,thinking,thinking-error,276.06,4.27,468.18,0.5896,0,0,0,0
deployment_1,11479,17,debugging,,280.33,4.67,468.18,0.5988,0,0,0,0
deployment_1,11479,18,thinking,thinking-error,285.0,8.1,468.18,0.6087,0,0,0,0
deployment_1,11479,19,debugging,,293.1,2.08,468.18,0.626,0,0,0,0
deployment_1,11479,20,thinking,thinking-error,295.18,25.28,468.18,0.6305,0,0,0,0
deployment_1,11479,21,debugging,,320.46,5.64,468.18,0.6845,0,0,0,0
deployment_1,11479,22,thinking,thinking-error,326.1,6.18,468.18,0.6965,0,0,0,0
deployment_1,11479,23,debugging,,332.29,12.32,468.18,0.7097,0,0,0,0
deployment_1,11479,24,thinking,thinking-error,344.61,6.53,468.18,0.7361,0,0,0,0
deployment_1,11479,25,debugging,,351.14,20.58,468.18,0.75,0,0,0,0
deployment_1,11479,26,testing,,371.72,2.17,468.18,0.794,0,0,0,0
deployment_1,11479,27,debugging,,373.89,0.61,468.18,0.7986,0,0,0,0
deployment_1,11479,28,thinking,thinking-error,374.5,6.66,468.18,0.7999,0,0,0,0
deployment_1,11479,29,debugging,,381.16,10.92,468.18,0.8141,0,0,0,0
deployment_1,11479,30,thinking,thinking-error,392.08,13.71,468.18,0.8374,0,0,0,0
deployment_1,11479,31,debugging,,405.79,5.94,468.18,0.8667,0,0,0,0
deployment_1,11479,32,thinking,thinking-error,411.72,56.46,468.18,0.8794,0,0,0,0
deployment_1,11480,0,thinking,thinking-task,0.0,34.68,542.42,0.0,0,4,0,0
deployment_1,11480,1,implementing,,34.68,31.01,542.42,0.0639,0,4,0,0
deployment_1,11480,2,thinking,thinking-code,65.69,6.72,542.42,0.1211,0,4,0,0
deployment_1,11480,3,debugging,,72.41,30.35,542.42,0.1335,0,4,0,0
deployment_1,11480,4,thinking,thinking-error,102.76,11.64,542.42,0.1894,0,4,0,0
